requirement_id,capability,priority,evidence,understanding_status,achievability,target_phase,target_gate,implementation_status,validation_status,user_approval,main_gap,closure_plan,evidence_path,owner,validator
UI-07,Lock Tool,P0,S,Confirmed,A,P05 Direct manipulation,UI-03,NOT STARTED,NOT VALIDATED,PENDING,One-shot vs repeat rules,Explicit state transitions,,Implementation Codex,Validation Codex
UI-08,Bar styles/components,P0,S/D,Confirmed,B,P05 Direct manipulation,UI-03,NOT STARTED,NOT VALIDATED,PENDING,Full editor not yet shown,Finite primitive style engine,,Implementation Codex,Validation Codex
UI-09,Floating report objects,P0,S/D,Confirmed,B,P05 Direct manipulation,UI-03,NOT STARTED,NOT VALIDATED,PENDING,Pointer/Object semantics,Observe dialogs; separate overlay layer,,Implementation Codex,Validation Codex
UI-10,QuickLook,P0,S,Confirmed,A,P04 Schedule View structure,UI-02,NOT STARTED,NOT VALIDATED,PENDING,Configurability,Hover-card field definition,,Implementation Codex,Validation Codex
LNK-01,Graphical Link tool,P0,S/U,Confirmed,B,P05 Direct manipulation,UI-03,NOT STARTED,NOT VALIDATED,PENDING,Exact endpoint gesture,Controlled linking experiment,,Implementation Codex,Validation Codex
LNK-02,FS/SS/FF/SF,P0,D,Strongly supported,B,P05 Direct manipulation,UI-03,NOT STARTED,NOT VALIDATED,PENDING,Editing dialog unseen,Links-tab screenshot/test,,Implementation Codex,Validation Codex
LNK-03,Lag/lead,P0,D,Strongly supported,B,P05 Direct manipulation,UI-03,NOT STARTED,NOT VALIDATED,PENDING,Unit rules,Dependency schema/tests,,Implementation Codex,Validation Codex
LNK-04,Cycle rejection,P0,P/conventional,Required,A,P05 Direct manipulation,UI-03,NOT STARTED,NOT VALIDATED,PENDING,UI explanation,Graph validation + highlight cycle,,Implementation Codex,Validation Codex
SCH-01,Work calendars,P0,S/D,Confirmed,B,P03 Calendar and scheduler core,G-ENG-02,NOT STARTED,NOT VALIDATED,NOT REQUIRED,Precedence rules,Independent calendar engine,,Implementation Codex,Validation Codex
SCH-02,Time-of-day scheduling,P0,S,Confirmed,B,P03 Calendar and scheduler core,G-ENG-02,NOT STARTED,NOT VALIDATED,NOT REQUIRED,DST/timezone,Timestamp policy,,Implementation Codex,Validation Codex
SCH-03,Fractional duration,P0,S,Confirmed,B,P03 Calendar and scheduler core,G-ENG-02,NOT STARTED,NOT VALIDATED,NOT REQUIRED,precision/rounding,Normalized time units,,Implementation Codex,Validation Codex
SCH-04,Constraints,P0,S/D,Confirmed,B,P03 Calendar and scheduler core,G-ENG-02,NOT STARTED,NOT VALIDATED,NOT REQUIRED,conflict precedence,Scheduling rules document,,Implementation Codex,Validation Codex
SCH-05,Fixed Duration,P0,S,Confirmed,B,P03 Calendar and scheduler core,G-ENG-02,NOT STARTED,NOT VALIDATED,NOT REQUIRED,interaction with work/resources,Lock-variable matrix,,Implementation Codex,Validation Codex
SCH-06,Ignore Resource Calendars,P0,S,Confirmed,B,P03 Calendar and scheduler core,G-ENG-02,NOT STARTED,NOT VALIDATED,NOT REQUIRED,inheritance,Calendar-precedence matrix,,Implementation Codex,Validation Codex
SCH-07,Critical path and float,P0,D/S menu,Strongly supported,B,P03 Calendar and scheduler core,G-ENG-02,NOT STARTED,NOT VALIDATED,NOT REQUIRED,calendars/constraints complexity,CPM conformance tests,,Implementation Codex,Validation Codex
SCH-08,Bar Priority,P0,S/D,Confirmed field,B,P03 Calendar and scheduler core,G-ENG-02,NOT STARTED,NOT VALIDATED,NOT REQUIRED,exact semantics,Define ProjectTrack rule if undocumented,,Implementation Codex,Validation Codex
SCH-09,Incremental scheduler,P0,P,Required,B/C,P03 Calendar and scheduler core,G-ENG-02,NOT STARTED,NOT VALIDATED,NOT REQUIRED,correctness/performance,"Full solver first, dirty graph later",,Implementation Codex,Validation Codex
TRK-01,Revise tool,P0,S,Confirmed,B,P06 Tracking and baselines,UI-06,NOT STARTED,NOT VALIDATED,PENDING,visual and downstream rules,Controlled experiment,,Implementation Codex,Validation Codex
TRK-02,Percent tool / Actual,P0,S,Confirmed,B,P06 Tracking and baselines,UI-06,NOT STARTED,NOT VALIDATED,PENDING,percent-to-actual maths,Tracking rules specification,,Implementation Codex,Validation Codex
TRK-03,Reset Revised/Actual,P0,S,Confirmed,B,P06 Tracking and baselines,UI-06,NOT STARTED,NOT VALIDATED,PENDING,cascade semantics,State-transition tests,,Implementation Codex,Validation Codex
TRK-04,Save/Clear Baseline,P0,S,Confirmed,A/B,P06 Tracking and baselines,UI-06,NOT STARTED,NOT VALIDATED,PENDING,multi-baseline UX,Baseline selector and tests,,Implementation Codex,Validation Codex
RES-01,Resource master table,P0,S,Confirmed,A,P08 Resource and cost engine,UI-05,NOT STARTED,NOT VALIDATED,PENDING,Low,Implement directly,,Implementation Codex,Validation Codex
RES-02,Detailed resource record,P0,S,Confirmed,A,P08 Resource and cost engine,UI-05,NOT STARTED,NOT VALIDATED,PENDING,Field optionality,Normalized contact/profile model,,Implementation Codex,Validation Codex
RES-03,Resource calendar,P0,S,Confirmed,B,P08 Resource and cost engine,UI-05,NOT STARTED,NOT VALIDATED,PENDING,inheritance,Same calendar engine,,Implementation Codex,Validation Codex
RES-04,Percent Work Usage,P0,S menu/D,Partially understood,B,P08 Resource and cost engine,UI-05,NOT STARTED,NOT VALIDATED,PENDING,rendering/editing unseen,Expanded Resource View capture,,Implementation Codex,Validation Codex
RES-05,Work Usage,P0,S menu/D,Partially understood,B,P08 Resource and cost engine,UI-05,NOT STARTED,NOT VALIDATED,PENDING,time-bucket semantics,Resource fixture and capture,,Implementation Codex,Validation Codex
RES-06,Assignments subrow,P0,S menu/D,Partially understood,B,P08 Resource and cost engine,UI-05,NOT STARTED,NOT VALIDATED,PENDING,direct editing unseen,Assignment workflow capture,,Implementation Codex,Validation Codex
RES-07,Contours,P1,D/V,Strongly supported,B,P08 Resource and cost engine,UI-05,NOT STARTED,NOT VALIDATED,PENDING,exact curves,Define normalized functions,,Implementation Codex,Validation Codex
RES-08,Spot allocation,P1,D,Strongly supported,B,P08 Resource and cost engine,UI-05,NOT STARTED,NOT VALIDATED,PENDING,precedence with contours,Deterministic allocation rules,,Implementation Codex,Validation Codex
RES-09,Overtime,P1,S/D,Confirmed fields; model partial,B,P08 Resource and cost engine,UI-05,NOT STARTED,NOT VALIDATED,PENDING,threshold rules,Resource overtime policy,,Implementation Codex,Validation Codex
RES-10,Effort-driven schedule,P1,D/V,Strongly supported,B,P08 Resource and cost engine,UI-05,NOT STARTED,NOT VALIDATED,PENDING,variable locking,Formal equations,,Implementation Codex,Validation Codex
CAL-01,Calendar wall view,P0,S,Confirmed,B,P09 Calendar View,UI-07,NOT STARTED,NOT VALIDATED,PENDING,direct manipulation unseen,Calendar drag/edit capture,,Implementation Codex,Validation Codex
CAL-02,Calendar exceptions/shifts,P0,S,Confirmed,B,P09 Calendar View,UI-07,NOT STARTED,NOT VALIDATED,PENDING,inheritance precedence,Calendar tests,,Implementation Codex,Validation Codex
MPR-01,File consolidation,P0,S/D,Confirmed,B,P07 All Projects workspace,UI-04,NOT STARTED,NOT VALIDATED,PENDING,update ownership,Consolidation rules,,Implementation Codex,Validation Codex
MPR-02,Common finish projects,P0,S,Confirmed option,B,P07 All Projects workspace,UI-04,NOT STARTED,NOT VALIDATED,PENDING,exact alignment,Controlled consolidation test,,Implementation Codex,Validation Codex
MPR-03,Separate finish projects,P0,S,Confirmed option,A/B,P07 All Projects workspace,UI-04,NOT STARTED,NOT VALIDATED,PENDING,Low,Preserve independent timelines,,Implementation Codex,Validation Codex
MPR-04,Native All Projects tab,P0,U,Confirmed requirement,B,P07 All Projects workspace,UI-04,NOT STARTED,NOT VALIDATED,PENDING,workspace architecture,Build into domain from Phase 0,,Implementation Codex,Validation Codex
MPR-05,Project collapses to one row,P0,U,Confirmed,B,P07 All Projects workspace,UI-04,NOT STARTED,NOT VALIDATED,PENDING,roll-up calculations,Project summary engine,,Implementation Codex,Validation Codex
MPR-06,Expand all projects/all rows,P0,U,Confirmed,A/B,P07 All Projects workspace,UI-04,NOT STARTED,NOT VALIDATED,PENDING,performance,Virtualized master tree,,Implementation Codex,Validation Codex
MPR-07,Combined sequential steps,P0,U,Confirmed concept,B,P07 All Projects workspace,UI-04,NOT STARTED,NOT VALIDATED,PENDING,exact ordering,Define sort/group semantics,,Implementation Codex,Validation Codex
MPR-08,Cross-project grouping,P0,P,Proposed,A/B,P07 All Projects workspace,UI-04,NOT STARTED,NOT VALIDATED,PENDING,User approval,Keep optional,,Implementation Codex,Validation Codex
REP-01,Layouts,P1,S/D,Confirmed,A/B,P10 Reporting and print,UI-08,NOT STARTED,NOT VALIDATED,PENDING,state-versioning,Versioned ViewState,,Implementation Codex,Validation Codex
REP-02,Filters,P1,S/D,Confirmed,B,P10 Reporting and print,UI-08,NOT STARTED,NOT VALIDATED,PENDING,multiple-bar semantics,Filter AST,,Implementation Codex,Validation Codex
REP-03,Sorts,P1,S/D,Confirmed,A/B,P10 Reporting and print,UI-08,NOT STARTED,NOT VALIDATED,PENDING,hierarchy behaviour,explicit mode,,Implementation Codex,Validation Codex
REP-04,Timeline Ranges,P1,S/D,Confirmed,A,P10 Reporting and print,UI-08,NOT STARTED,NOT VALIDATED,PENDING,Low,persist definitions,,Implementation Codex,Validation Codex
REP-05,Reports as saved view states,P1,D,Strongly supported,B,P10 Reporting and print,UI-08,NOT STARTED,NOT VALIDATED,PENDING,breadth of captured state,reusable ViewStateSnapshot,,Implementation Codex,Validation Codex
REP-06,FastSteps,P1,S/D,Confirmed,A/B,P10 Reporting and print,UI-08,NOT STARTED,NOT VALIDATED,PENDING,exact commands,safe command vocabulary,,Implementation Codex,Validation Codex
REP-07,Summary Graphs,P1,S/D,Confirmed,B,P10 Reporting and print,UI-08,NOT STARTED,NOT VALIDATED,PENDING,aggregation semantics,graph engine after core,,Implementation Codex,Validation Codex
REP-08,Header/Footer/Page Break,P1,S,Confirmed,B,P10 Reporting and print,UI-08,NOT STARTED,NOT VALIDATED,PENDING,pagination,print-layout engine,,Implementation Codex,Validation Codex
INT-01,CSV/XLSX/XML/ICS/HTML/PDF,P1,D/P,Required,B,P11 Interoperability,G-REL-01,NOT STARTED,NOT VALIDATED,NOT REQUIRED,mapping loss,compatibility report,,Implementation Codex,Validation Codex
INT-02,Native MPP,P1,D,Conditional,C/D,P11 Interoperability,G-REL-01,NOT STARTED,NOT VALIDATED,NOT REQUIRED,proprietary format/library,XML fallback,,Implementation Codex,Validation Codex
INT-03,Vector clipboard,P1,D/P,Conditional,C,P11 Interoperability,G-REL-01,NOT STARTED,NOT VALIDATED,NOT REQUIRED,Windows/Tauri integration,PNG → SVG → EMF stages,,Implementation Codex,Validation Codex
NFR-01,10k-row performance,P0,P,Required,B,P12 Release hardening,G-REL-02,NOT STARTED,NOT VALIDATED,NOT REQUIRED,actual latency,automated benchmarks,,Implementation Codex,Validation Codex
NFR-02,100-step undo,P0,P,Required,B,P12 Release hardening,G-REL-02,NOT STARTED,NOT VALIDATED,NOT REQUIRED,large commands,reversible domain commands,,Implementation Codex,Validation Codex
NFR-03,Autosave/recovery,P0,P/D,Required,A/B,P12 Release hardening,G-REL-02,NOT STARTED,NOT VALIDATED,NOT REQUIRED,corruption,atomic snapshots/WAL,,Implementation Codex,Validation Codex
NFR-04,Background jobs,P0,D/P,Required,B,P12 Release hardening,G-REL-02,NOT STARTED,NOT VALIDATED,NOT REQUIRED,safe cancellation,staging and rollback,,Implementation Codex,Validation Codex
NFR-05,Exact FastTrack visual clone,P2,U/Policy,Not targeted,D by design,P12 Release hardening,G-REL-02,NOT STARTED,NOT VALIDATED,NOT REQUIRED,Copyright and unnecessary parity,"Original UI, workflow equivalence",,Implementation Codex,Validation Codex
NFR-06,Exact undocumented FastTrack semantics,P2,Methodology,Not promiseable,D,P12 Release hardening,G-REL-02,NOT STARTED,NOT VALIDATED,NOT REQUIRED,unavailable evidence,compatibility ledger,,Implementation Codex,Validation Codex
ARC-06,"Workspace contains native project nodes, not only file references",P0,U/S,Confirmed,B,P01 Architecture and governance,G-ARCH-01,NOT STARTED,NOT VALIDATED,NOT REQUIRED,Risk of bolting portfolio on late,Model Workspace and Project from Phase 0,,Implementation Codex,Validation Codex
ARC-07,"Derived summary nodes at project, phase and activity-group levels",P0,U/S,Confirmed,B,P01 Architecture and governance,G-ARCH-01,NOT STARTED,NOT VALIDATED,NOT REQUIRED,Exact roll-up mathematics,Formal summary equations and golden fixtures,,Implementation Codex,Validation Codex
UI-11,Canonical row height shared by grid and timeline,P0,U/S,Confirmed,B,P04 Schedule View structure,UI-02,NOT STARTED,NOT VALIDATED,PENDING,Variable wrapped rows can desynchronise,Single geometry service and visual tests,,Implementation Codex,Validation Codex
UI-12,Direct proportional timeline-header scaling,P0,U/S,Confirmed,B,P04 Schedule View structure,UI-02,NOT STARTED,NOT VALIDATED,PENDING,Physical zoom can be confused with date range,"Separate range, units and pixels-per-unit state",,Implementation Codex,Validation Codex
UI-13,Global and local Expand/Collapse and Show Level controls,P0,U/S,Confirmed,A/B,P04 Schedule View structure,UI-02,NOT STARTED,NOT VALIDATED,PENDING,Outline state persistence,Tree projection tests at project and row level,,Implementation Codex,Validation Codex
UI-14,All Projects and individual project tabs in one workspace,P0,U,Confirmed,B,P04 Schedule View structure,UI-02,NOT STARTED,NOT VALIDATED,PENDING,Tab and projection ownership,Workspace shell approved at UI-00/UI-01,,Implementation Codex,Validation Codex
MPR-09,See current work across every project in one window,P0,U,Confirmed,B,P07 All Projects workspace,UI-04,NOT STARTED,NOT VALIDATED,PENDING,Definition of active work and roll-up,Status-date rules and Active Now fixture,,Implementation Codex,Validation Codex
MPR-10,Expand every project and every step into one continuous scrollable sequence,P0,U,Confirmed,B,P07 All Projects workspace,UI-04,NOT STARTED,NOT VALIDATED,PENDING,Scale and performance,Virtualised master tree benchmark,,Implementation Codex,Validation Codex
GOV-01,Human approval required at each front-end UI/UX gate,P0,U,Confirmed,A,P01 Architecture and governance,G-ARCH-01,NOT STARTED,NOT VALIDATED,NOT REQUIRED,Agent may continue without approval,Hard stop and signed approval record,,Implementation Codex,Validation Codex
GOV-02,Independent validation task separate from implementation task,P0,U,Confirmed,A,P01 Architecture and governance,G-ARCH-01,NOT STARTED,NOT VALIDATED,NOT REQUIRED,Self-validation bias,Separate validation prompt and reports,,Implementation Codex,Validation Codex
GOV-03,No phase advances without evidence-backed checkpoint,P0,U,Confirmed,A,P01 Architecture and governance,G-ARCH-01,NOT STARTED,NOT VALIDATED,NOT REQUIRED,Status drift,Checkpoint record linked to commit SHA,,Implementation Codex,Validation Codex
